City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Port Moresby,PG,81.82,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
557,Samarai,PG,82.85,overcast clouds,-10.6167,150.6667,Nuli Sapi
559,San Patricio,US,82.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
560,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
563,Tucuma,BR,79.63,scattered clouds,-0.1833,-50.05,
564,Tera,NE,86.97,clear sky,14.0078,0.7531,Hotel Dar es salam
566,Tahta,EG,75.52,clear sky,26.7693,31.5021,مصطفي عساف
570,jibuti,DJ,75.42,few clouds,11.5,42.5,Orchid Main Camp Goubet
571,Jibuti,DJ,75.42,few clouds,11.5,42.5,Orchid Main Camp Goubet
577,Araouane,ML,82.74,clear sky,18.9048,-3.5265,
580,Atambua,ID,85.89,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
581,Townsville,AU,86.88,few clouds,-19.25,146.8,Rydges Southbank Townsville
583,Fremont,US,78.48,clear sky,37.5483,-121.9886,All Suites Islander Motels
586,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
589,Aransas Pass,US,82.63,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
595,Bubaque,GW,83.89,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
609,Alvaraes,BR,80.94,few clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
611,Mount Isa,AU,80.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
622,Shenjiamen,CN,77.27,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
625,Acajutla,SV,80.53,few clouds,13.5928,-89.8275,asi es
626,Morros,BR,79.63,few clouds,-9.4467,-46.3003,
629,Matara,LK,79.34,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
631,Katherine,AU,91.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
632,Morondava,MG,75.67,clear sky,-20.2833,44.2833,La Case Bambou
633,Batesville,US,76.64,moderate rain,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
636,Cururupu,BR,75.85,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
637,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
640,Brokopondo,SR,78.96,scattered clouds,4.75,-55.1667,Matu Island
641,Jardim,BR,81.97,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
642,Wagar,SD,83.46,clear sky,16.1525,36.2032,
649,Pacific Grove,US,75.4,clear sky,36.6177,-121.9166,Lovers Point Inn
650,Caravelas,BR,76.23,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
651,Gizo,SB,85.6,broken clouds,-8.103,156.8419,Imagination Island
659,Kaura Namoda,NG,79.77,few clouds,12.5898,6.5779,Moonlight Hotel
660,Sakakah,SA,78.37,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
668,Sabya,SA,82.02,clear sky,17.1495,42.6254,Aseel Hotel Apartment
670,Amahai,ID,85.32,broken clouds,-3.3333,128.9167,HOTEL ISABELA
672,Auki,SB,83.75,overcast clouds,-8.7676,160.7034,Auki Motel
674,Kudahuvadhoo,MV,82.9,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
675,Pochutla,MX,78.53,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
677,Goure,NE,87.03,overcast clouds,13.9835,10.2704,
