City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Khatanga,RU,71.9667,102.5,3.72,90,100,6.73,overcast clouds
141,Erzin,TR,36.9559,36.2,57.72,64,0,2.93,clear sky
143,Pangody,RU,65.85,74.4859,37.47,93,100,13.29,overcast clouds
145,Katsuura,JP,35.1333,140.3,71.71,64,0,4.59,clear sky
147,Lagoa,PT,39.05,-27.9833,69.73,90,22,14.05,few clouds
149,Qaanaaq,GL,77.484,-69.3632,13.14,82,62,4.05,broken clouds
151,Norman Wells,CA,65.282,-126.8329,24.84,80,75,3.44,broken clouds
153,Sioux Lookout,CA,50.1001,-91.917,48.27,93,90,13.8,light intensity drizzle
155,Hobart,AU,-42.8794,147.3294,62.02,95,75,9.22,drizzle
157,Dali,CN,25.7,100.1833,59.18,96,100,3.27,overcast clouds
159,Opuwo,NA,-18.0607,13.84,66.67,45,0,5.08,clear sky
161,Nanortalik,GL,60.1432,-45.2371,39.78,62,69,5.57,broken clouds
163,Yatou,CN,37.15,122.3833,67.68,65,34,13.47,scattered clouds
165,Broome,US,42.2506,-75.833,64.65,70,100,0.94,overcast clouds
167,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,81,75,10.36,broken clouds
169,Kapaa,US,22.0752,-159.319,84.18,77,90,5.01,light rain
171,Ilulissat,GL,69.2167,-51.1,32.65,99,100,2.68,light snow
173,Harper,LR,4.375,-7.7169,77.77,90,52,7.99,broken clouds
175,Sobolevo,RU,54.4299,31.8996,34.88,91,48,7.0,scattered clouds
177,Aklavik,CA,68.2191,-135.0107,31.03,92,73,3.98,broken clouds
179,Coihueco,CL,-36.6167,-71.8333,48.94,76,40,5.75,scattered clouds
181,Port Hedland,AU,-20.3167,118.5667,87.85,16,1,6.91,clear sky
183,Pestovo,RU,58.5938,35.8024,38.98,92,100,7.36,overcast clouds
185,Yellowknife,CA,62.456,-114.3525,43.41,76,20,11.5,few clouds
187,Xichang,CN,27.8964,102.2634,64.54,79,94,0.4,overcast clouds
189,Port Lincoln,AU,-34.7333,135.8667,59.63,68,75,17.96,broken clouds
191,Lucap,PH,16.1833,120.0,80.85,83,94,8.57,light rain
193,Menongue,AO,-14.6585,17.691,61.84,25,20,4.45,few clouds
195,Pasni,PK,25.2631,63.471,79.09,30,0,13.24,clear sky
197,Luganville,VU,-15.5333,167.1667,81.64,79,72,6.82,broken clouds
199,Quang Ngai,VN,15.1167,108.8,79.21,88,100,3.53,moderate rain
201,Verkhnevilyuysk,RU,63.4453,120.3167,20.62,81,90,4.79,overcast clouds
203,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.32,73,98,0.72,overcast clouds
205,Yulara,AU,-25.2406,130.9889,66.04,30,0,10.36,clear sky
207,Flinders,AU,-34.5833,150.8552,69.06,65,28,4.0,scattered clouds
209,Tsimlyansk,RU,47.6461,42.1019,43.18,82,99,6.26,overcast clouds
211,Iranshahr,IR,27.2025,60.6848,62.94,8,0,0.0,clear sky
213,Sabang,ID,5.8933,95.3214,82.31,74,97,21.65,overcast clouds
215,Vaini,TO,-21.2,-175.2,82.56,69,20,13.8,few clouds
217,Saskylakh,RU,71.9167,114.0833,1.71,93,89,9.78,overcast clouds
219,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,36,10.51,scattered clouds
221,Brazzaville,CG,-4.2658,15.2832,75.83,77,100,0.81,overcast clouds
223,Riviere-Au-Renard,CA,48.9957,-64.3971,48.49,88,30,6.11,scattered clouds
225,Kruisfontein,ZA,-34.0033,24.7314,57.88,79,88,6.76,overcast clouds
227,Souillac,MU,-20.5167,57.5167,71.98,83,40,6.91,scattered clouds
229,Nikolskoye,RU,59.7035,30.7861,41.81,79,62,5.32,broken clouds
231,Treinta Y Tres,UY,-33.2333,-54.3833,64.08,95,98,5.68,overcast clouds
233,Bengkulu,ID,-3.8004,102.2655,78.26,78,100,2.39,overcast clouds
235,Dudinka,RU,69.4058,86.1778,32.16,99,100,16.55,snow
237,Bien Hoa,VN,10.95,106.8167,84.18,81,100,3.04,overcast clouds
239,Olga,RU,43.7444,135.2892,52.03,39,10,14.54,clear sky
241,Meulaboh,ID,4.1363,96.1285,78.71,81,64,2.77,light rain
243,Henties Bay,NA,-22.116,14.2845,57.85,92,5,6.62,clear sky
245,Herisau,CH,47.3862,9.2792,41.99,88,12,3.67,few clouds
247,Kaitangata,NZ,-46.2817,169.8464,57.61,47,14,5.03,few clouds
249,Salalah,OM,17.0151,54.0924,78.64,65,100,2.04,overcast clouds
251,Longyearbyen,SJ,78.2186,15.6401,25.81,84,100,9.17,overcast clouds
253,Castro,BR,-24.7911,-50.0119,60.82,96,5,4.54,clear sky
255,Kununurra,AU,-15.7667,128.7333,93.18,16,87,8.05,overcast clouds
257,Esperance,AU,-33.8667,121.9,57.04,61,41,11.07,scattered clouds
259,Hualmay,PE,-11.0964,-77.6139,63.07,85,100,8.55,overcast clouds
261,Pontiac,US,42.6389,-83.2911,67.19,94,90,1.01,overcast clouds
263,Ust-Ishim,RU,57.6935,71.1665,38.41,95,14,4.68,few clouds
265,Thompson,CA,55.7435,-97.8558,39.36,100,90,9.22,mist
267,Jaciara,BR,-15.9653,-54.9683,78.85,71,100,1.61,light rain
269,Vardo,NO,70.3705,31.1107,36.61,98,100,18.59,light rain
271,Naberera,TZ,-4.2,36.9333,61.66,83,88,11.21,overcast clouds
273,Roald,NO,62.5833,6.1333,48.9,61,75,20.71,broken clouds
275,Teshie,GH,5.5836,-0.1072,81.16,89,40,5.75,scattered clouds
277,Buin,CL,-33.7333,-70.75,58.73,59,2,6.44,clear sky
279,Ponta Do Sol,PT,32.6667,-17.1,69.71,75,5,1.54,clear sky
281,Mongagua,BR,-24.0931,-46.6208,80.92,90,100,3.76,overcast clouds
283,Paka,MY,4.6374,103.4368,80.53,89,20,0.0,few clouds
285,Olinda,BR,-8.0089,-34.8553,80.33,78,75,12.66,broken clouds
287,Pevek,RU,69.7008,170.3133,20.32,91,100,1.14,light snow
289,Saint-Georges,GD,12.0564,-61.7485,83.88,84,40,17.27,scattered clouds
291,Riyadh,SA,24.6877,46.7219,73.54,23,0,3.85,clear sky
293,Kodiak,US,57.79,-152.4072,42.89,58,8,11.81,clear sky
295,Dryden,CA,49.7833,-92.7503,46.69,87,90,17.27,overcast clouds
297,Severnoye,RU,56.3491,78.3619,41.05,92,100,4.18,overcast clouds
299,Kawalu,ID,-7.3817,108.2082,74.8,81,100,2.75,overcast clouds
301,Rocha,UY,-34.4833,-54.3333,56.32,95,0,4.47,clear sky
303,West Plains,US,36.7281,-91.8524,68.52,98,100,5.01,overcast clouds
305,Ust-Kulom,RU,61.6864,53.6902,40.5,71,100,7.11,overcast clouds
307,Yibin,CN,28.7667,104.6238,61.75,75,100,1.81,overcast clouds
309,Muroto,JP,33.2833,134.15,77.04,72,3,8.61,clear sky
311,Jinchang,CN,38.4953,102.1739,44.06,46,100,3.02,overcast clouds
313,Codrington,AU,-38.2667,141.9667,52.88,88,100,21.56,overcast clouds
315,Abilene,US,32.4487,-99.7331,77.49,67,1,9.22,clear sky
317,Ifanadiana,MG,-21.3,47.6333,61.54,96,12,2.21,few clouds
319,Hermanus,ZA,-34.4187,19.2345,56.89,82,50,3.89,light rain
321,Madimba,TZ,-10.4,40.3333,74.32,90,36,6.13,scattered clouds
323,Port Hardy,CA,50.6996,-127.4199,48.38,93,90,17.27,light intensity shower rain
325,Cherrapunji,IN,25.3,91.7,66.42,77,66,3.74,broken clouds
327,Cidreira,BR,-30.1811,-50.2056,67.6,95,67,13.04,broken clouds
329,Yanam,IN,16.7333,82.2167,81.0,86,100,1.66,light rain
331,Tiksi,RU,71.6872,128.8694,10.96,92,100,6.87,overcast clouds
333,Pundaguitan,PH,6.3711,126.1689,83.3,73,90,3.74,overcast clouds
335,Dover,US,39.1582,-75.5244,68.02,87,1,5.75,clear sky
337,Avarua,CK,-21.2078,-159.775,80.65,74,8,4.61,clear sky
339,Lima,PE,-12.0432,-77.0282,62.91,79,20,10.36,few clouds
341,Port-Gentil,GA,-0.7193,8.7815,78.82,85,100,10.65,overcast clouds
343,Cruz Alta,BR,-28.6386,-53.6064,75.18,93,86,5.88,light rain
345,Sembe,CG,1.6481,14.5806,70.83,95,90,2.06,overcast clouds
347,Sacramento,US,38.4666,-121.3177,78.94,22,1,1.01,clear sky
349,Mehamn,NO,71.0357,27.8492,34.83,98,100,6.4,light rain
351,Foki,RU,56.693,54.3499,45.86,53,100,11.88,light rain
353,Brae,GB,60.3964,-1.353,42.71,67,100,25.14,overcast clouds
355,Ambon,ID,-3.6954,128.1814,86.14,84,20,3.44,few clouds
357,Rongcheng,CN,30.634,117.8517,63.03,97,100,4.25,light rain
